Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,CRATE_POTENTIALLY_DESTROYED,ENEMY_POTENTIALLY_KILLED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,LAST_AGENT_STANDING,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,STEP_SURVIVED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-19 23:04:22,271.7555658817291,10,14,73.55999999999972,66.38484800443985,1675,1,80,80,20,31,0,0,63,62,1,71,10,3,126,10,10,0,309,312,330,368,9,1665,0,15,150,80,395,382,330,330,150,88
2024-09-19 23:04:22,279.69822096824646,10,8,182.84000000000037,99.91883648134535,2410,0,93,93,24,29,0,0,57,57,3,89,5,5,139,12,5,0,535,425,454,566,11,2410,5,30,203,93,590,499,575,441,203,107
2024-09-19 23:04:22,286.5105299949646,10,2,145.51999999999978,72.67331749107689,1822,0,97,95,23,33,0,0,73,72,2,88,7,2,118,10,7,0,409,310,296,442,9,1818,3,23,153,97,480,325,429,332,153,106
2024-09-19 23:04:22,292.6977219581604,10,14,203.5200000000015,77.47997616813518,1860,1,104,104,23,28,0,0,66,64,4,98,6,9,141,16,6,0,407,290,293,410,16,1858,4,32,219,104,457,307,429,321,219,131
2024-09-19 23:04:22,298.3250820636749,10,3,60.41999999999965,81.23633431387134,1858,3,97,97,21,30,0,0,55,52,2,90,9,7,146,10,9,0,389,305,315,409,10,1850,1,43,198,97,424,335,463,323,198,116
2024-09-19 23:04:22,301.1079578399658,10,14,5.579999999999973,44.74785000097472,971,0,43,43,7,15,0,0,31,31,0,34,9,2,63,6,9,0,111,248,288,158,6,963,1,13,61,43,166,313,120,262,61,50
2024-09-19 23:04:22,308.5010406970978,10,14,114.93999999999895,106.50067901867442,2280,0,75,72,24,31,0,0,51,48,1,72,5,1,153,6,5,0,559,320,343,565,6,2280,5,27,270,75,580,402,611,337,270,85
2024-09-19 23:04:22,315.5060079097748,10,0,165.49999999999895,105.53135082218796,2242,0,109,109,27,30,0,1,66,65,1,103,8,5,136,16,8,0,409,461,512,399,14,2236,2,41,218,109,421,563,438,470,218,134
2024-09-19 23:04:22,320.8955750465393,10,18,116.25999999999863,73.47241895319894,1475,2,71,71,22,25,0,0,54,52,0,65,8,2,104,11,8,0,208,360,367,218,10,1469,2,17,149,71,234,387,249,372,149,86
2024-09-19 23:04:22,328.5434079170227,10,14,93.87999999999973,114.37778243876528,2288,1,112,111,25,30,0,0,53,53,0,106,6,10,196,9,6,0,369,456,501,363,8,2286,4,56,295,112,397,555,426,486,295,133
