Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-18 16:33:05,45.87780523300171,10,1,-48.82000000000015,34.25995056028478,602,3,23,23,6,24,0,0,54,13,10,4,121,0,10,78,52,54,71,0,0,6,203,23,129,73,83,67,203,47
2024-09-18 16:33:05,46.30643320083618,10,0,-64.19999999999989,19.11675832537003,333,0,15,15,4,13,0,0,34,5,10,0,41,0,10,82,39,39,69,0,0,5,48,15,82,45,88,44,48,26
2024-09-18 16:33:05,47.45039105415344,10,1,-80.35999999999956,56.89636067789979,957,2,31,31,6,25,0,0,50,24,10,4,247,0,10,220,24,24,222,0,0,32,189,31,238,36,303,116,189,75
2024-09-18 16:33:05,48.06892490386963,10,0,-66.90000000000008,32.71877703187056,534,0,26,26,5,20,0,0,40,18,10,3,80,0,10,152,47,48,139,0,0,23,42,26,150,63,167,55,42,57
2024-09-18 16:33:05,48.900405168533325,10,0,-74.37999999999975,42.42559772380628,743,2,19,19,3,17,0,0,46,14,10,2,227,0,10,168,17,18,162,0,0,0,132,19,200,40,284,59,132,28
2024-09-18 16:33:05,49.58979415893555,10,0,-44.36000000000036,32.6895758563187,565,0,22,22,6,23,0,0,56,18,10,0,140,0,10,115,23,17,113,0,0,3,135,22,148,29,119,96,135,38
2024-09-18 16:33:05,50.142459869384766,10,0,-80.66000000000054,26.04546097572893,466,0,20,20,1,11,0,0,37,18,10,0,142,0,10,89,22,27,87,0,0,6,79,20,166,42,95,52,79,32
2024-09-18 16:33:05,50.73255801200867,10,1,-73.36000000000112,28.299394838977605,478,0,17,17,3,13,0,0,33,15,10,2,105,0,10,141,15,12,141,0,0,1,47,17,159,50,153,49,47,20
2024-09-18 16:33:05,52.28482007980347,10,1,-62.9399999999983,48.819206228712574,785,0,23,23,7,20,0,0,46,17,10,3,175,0,10,225,28,28,216,0,0,6,90,23,250,69,240,96,90,40
2024-09-18 16:33:05,53.28154802322388,10,0,-10.680000000000165,27.05326319253072,433,3,24,24,11,36,0,1,63,15,10,4,129,0,10,109,17,13,102,0,0,2,39,24,108,93,125,26,39,42
2024-09-18 16:33:05,53.739304065704346,10,0,-65.67999999999981,11.569278742652386,181,0,18,18,3,11,0,0,33,13,10,1,39,0,10,41,11,12,35,0,0,6,25,18,49,17,43,16,25,31
2024-09-18 16:33:05,54.79257917404175,10,5,-53.46000000000018,34.70201964164153,529,2,26,26,6,19,0,0,53,23,10,6,150,0,10,87,30,23,88,0,0,7,125,26,104,33,180,44,125,43
2024-09-18 16:33:05,55.91531300544739,10,2,-55.26000000000023,49.299648898420855,721,0,27,27,10,17,0,0,46,21,10,0,105,0,10,194,58,60,188,0,0,12,89,27,205,75,198,103,89,51
2024-09-18 16:33:05,56.570919036865234,10,0,-33.22000000000034,33.306765055749565,500,0,23,23,9,28,0,0,57,16,10,3,181,0,10,121,14,12,119,0,0,1,30,23,214,64,128,21,30,43
2024-09-18 16:33:05,56.92874097824097,10,0,-69.85999999999997,21.406104505527765,313,0,19,19,2,11,0,0,35,16,10,2,62,0,10,78,15,17,76,0,0,4,46,19,91,21,81,44,46,30
2024-09-18 16:33:05,57.50791788101196,10,0,-56.45999999999952,34.64111122605391,505,1,18,18,6,18,0,0,45,11,10,2,136,0,10,97,19,19,104,0,0,1,112,18,108,103,125,26,112,31
2024-09-18 16:33:05,58.00855994224548,10,0,-59.87999999999929,29.61167871206999,425,0,18,18,7,16,0,0,35,11,10,0,93,0,10,121,15,16,112,0,0,2,50,18,130,71,124,21,50,29
2024-09-18 16:33:05,59.17240619659424,10,0,-54.159999999999364,60.74831053428352,884,1,25,25,4,28,0,0,63,20,10,3,271,0,10,228,16,16,228,0,0,2,100,25,298,84,300,57,100,45
2024-09-18 16:33:05,60.46751284599304,10,3,-93.03999999999895,65.95435096370056,961,1,23,23,5,12,0,0,50,16,10,6,442,0,10,193,15,14,188,0,0,2,86,23,286,159,309,83,86,38
2024-09-18 16:33:05,62.20010709762573,10,0,-36.640000000001145,82.22009552060626,1262,2,27,27,10,25,0,0,65,19,9,8,290,0,9,348,41,46,345,0,1,8,166,27,477,107,355,107,166,51
2024-09-18 16:33:05,62.9136700630188,10,0,-65.29999999999939,38.258838472887874,615,0,19,19,5,17,0,0,44,14,10,6,177,0,10,143,28,27,145,0,0,1,76,19,172,36,171,128,76,32
2024-09-18 16:33:05,63.5841338634491,10,0,-37.2400000000001,21.74915917729959,339,0,20,20,4,21,0,0,58,11,10,7,92,0,10,92,15,11,94,0,0,1,15,20,116,21,114,42,15,31
2024-09-18 16:33:05,64.45344114303589,10,0,-21.020000000000014,34.78080451139249,550,1,26,26,10,31,0,0,66,18,10,5,149,0,10,119,30,24,121,0,0,3,81,26,211,35,133,48,81,42
2024-09-18 16:33:05,65.52149415016174,10,1,6.100000000000052,51.292310036253184,830,3,32,32,18,36,0,0,78,23,10,3,116,0,10,280,41,33,290,0,0,7,38,32,300,72,296,59,38,65
2024-09-18 16:33:05,66.50090408325195,10,2,-57.81999999999903,41.050591523293406,667,0,26,26,5,16,0,0,52,24,10,1,118,0,10,217,26,24,213,0,0,10,43,26,238,88,227,30,43,41
2024-09-18 16:33:05,67.50651812553406,10,1,-37.74000000000075,46.52713555004448,750,3,27,27,8,24,0,0,59,20,10,4,77,0,10,189,103,97,191,0,0,8,66,27,224,110,194,113,66,43
2024-09-18 16:33:05,68.1304578781128,10,0,-29.260000000000005,28.0573162548244,438,0,27,27,9,24,0,0,56,18,10,1,68,0,10,138,23,23,139,0,0,5,20,27,152,43,145,39,20,39
2024-09-18 16:33:05,69.14135098457336,10,1,-41.81999999999914,32.33126651216298,520,2,22,22,6,20,0,0,58,13,10,3,143,0,10,85,77,76,86,0,0,0,31,22,95,130,95,133,31,36
2024-09-18 16:33:05,70.2215929031372,10,0,-21.219999999999818,42.72391757229343,709,1,31,31,12,27,0,0,74,24,10,4,187,0,10,116,58,60,112,0,0,5,145,31,137,155,137,79,145,56
2024-09-18 16:33:05,70.7884030342102,10,3,-29.220000000000354,31.395084663294256,474,1,23,23,8,25,0,0,60,18,10,5,114,0,10,141,20,18,129,0,0,2,29,23,138,55,147,56,29,49
