Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,WAITED,WARM,UP,DOWN,LEFT,RIGHT,WAIT,BOMB
2024-09-18 20:52:15,61.59821701049805,10,11,105.11999999999915,0,16,16,116,0,0,0,0,10,0,54,0,10,142,52,105,129,0,0,24,0,136,116,147,66,23,24
2024-09-18 20:52:15,62.8277850151062,10,13,83.86999999999965,0,12,12,92,0,0,0,0,10,0,42,0,10,86,48,60,119,0,0,16,0,126,67,89,55,16,20
2024-09-18 20:52:15,64.00764083862305,10,0,95.49999999999915,0,20,20,107,0,0,0,0,10,0,61,0,10,81,110,154,110,0,0,17,0,127,162,90,116,17,31
2024-09-18 20:52:15,65.08567976951599,10,4,58.529999999999944,0,11,11,66,0,0,0,0,10,0,39,0,10,115,37,40,110,0,0,11,0,120,50,118,40,9,16
2024-09-18 20:52:15,66.23958086967468,10,9,101.85999999999905,0,15,15,115,0,0,0,0,10,0,75,0,10,153,62,97,182,0,0,14,0,203,109,165,74,14,23
2024-09-18 20:52:15,67.51062083244324,10,25,72.3000000000004,0,16,16,87,0,0,0,0,10,0,76,0,10,122,145,159,134,0,0,30,0,155,176,134,156,30,21
2024-09-18 20:52:15,68.64574003219604,10,13,54.59999999999978,0,13,13,64,0,0,0,0,10,0,47,0,10,118,71,78,133,0,0,14,0,147,86,122,75,13,21
2024-09-18 20:52:15,69.91313481330872,10,5,127.4799999999998,0,14,14,140,0,0,0,0,10,0,55,0,10,122,149,155,191,0,0,17,0,201,165,133,157,15,22
2024-09-18 20:52:15,71.34888195991516,10,4,74.43000000000035,0,21,21,93,0,0,0,0,10,0,91,0,10,331,78,103,325,0,0,22,0,352,117,343,97,21,31
2024-09-18 20:52:15,72.48029589653015,10,8,97.03999999999976,0,17,17,110,0,0,0,0,10,0,82,0,10,90,85,89,97,0,0,23,0,120,111,101,90,22,29
2024-09-18 20:52:15,73.80313968658447,10,10,91.11999999999956,0,14,14,101,0,0,0,0,10,0,51,0,10,128,81,100,104,0,0,13,0,112,109,135,88,12,25
2024-09-18 20:52:15,74.93839693069458,10,2,82.56999999999978,0,17,17,94,0,0,0,0,10,0,70,0,10,112,72,63,96,0,0,20,0,119,75,120,77,20,29
2024-09-18 20:52:15,76.05161809921265,10,8,75.58999999999995,0,15,15,85,0,0,0,0,10,0,58,0,10,87,82,85,42,0,0,13,0,61,91,93,91,12,24
2024-09-18 20:52:15,77.20210671424866,10,2,71.71999999999939,0,14,14,80,0,0,0,0,10,0,39,0,10,61,102,142,63,0,0,14,0,69,156,64,103,14,19
2024-09-18 20:52:15,78.33837175369263,10,20,67.0399999999999,0,12,12,74,0,0,0,0,10,0,27,0,10,120,42,62,122,0,0,16,0,134,62,121,43,16,15
2024-09-18 20:52:15,79.48542070388794,10,15,86.36999999999965,0,13,13,96,0,0,0,0,10,0,57,0,10,95,53,76,119,0,0,10,0,131,93,99,60,10,20
2024-09-18 20:52:15,80.56801676750183,10,4,59.85000000000019,0,11,11,66,0,0,0,0,10,0,27,0,10,113,33,37,112,0,0,10,0,117,43,117,34,10,12
2024-09-18 20:52:15,81.8974359035492,10,21,115.99999999999923,0,18,18,132,0,0,0,0,10,0,90,0,10,149,113,128,150,0,0,32,0,182,139,165,124,32,28
2024-09-18 20:52:15,83.19533896446228,10,5,91.51999999999938,0,10,10,99,0,0,0,0,10,0,32,0,10,115,92,77,104,0,0,8,0,112,80,124,91,8,13
2024-09-18 20:52:15,84.74404883384705,10,23,84.26000000000015,0,16,16,99,0,0,0,0,10,0,69,0,10,148,179,160,142,0,0,31,0,151,176,162,188,30,28
2024-09-18 20:52:15,86.02369284629822,10,6,108.69999999999925,0,15,15,119,0,0,0,0,10,0,55,0,10,72,100,124,94,0,0,18,0,110,128,80,110,16,24
2024-09-18 20:52:15,87.58686184883118,10,16,137.31999999999942,0,15,15,153,0,0,0,0,10,0,65,0,10,262,159,157,240,0,0,20,0,255,172,268,170,18,25
