Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-18 11:46:10,160.78653383255005,10,36,978.0200000000187,179.81487097591162,0,16,16,482,0,0,0,17,2,0,29,0,2,322,287,311,315,0,8,0,22,16,324,319,325,295,22,17
2024-09-18 11:46:10,162.75650787353516,10,49,888.8600000000162,161.01162979006767,0,20,20,446,0,0,0,20,3,1,28,0,3,322,287,257,300,0,7,0,23,20,303,266,328,296,23,21
2024-09-18 11:46:10,164.67405796051025,10,49,911.4400000000168,155.31507214903831,0,18,18,448,0,0,0,19,2,0,35,0,2,297,278,239,318,0,8,0,18,18,320,251,302,291,18,21
2024-09-18 11:46:10,166.67957592010498,10,23,953.5600000000184,166.8240032158792,0,23,23,470,0,0,0,23,2,0,38,0,2,301,285,259,326,0,8,0,23,23,331,269,312,293,23,27
2024-09-18 11:46:10,168.4712109565735,10,21,762.2200000000144,142.96943166851997,0,19,19,399,0,0,0,18,5,1,24,0,5,223,260,262,283,0,5,0,18,19,289,271,227,262,18,22
2024-09-18 11:46:10,170.00426983833313,10,24,631.200000000012,126.93417235463858,0,17,17,350,0,0,0,15,7,1,20,0,7,253,234,214,211,0,3,0,14,17,214,219,256,239,14,21
2024-09-18 11:46:10,171.83500504493713,10,49,817.6800000000161,153.10730746388435,0,24,24,410,0,0,0,23,3,0,36,0,3,280,260,275,258,0,7,0,19,24,274,280,286,268,19,25
2024-09-18 11:46:10,173.786071062088,10,49,821.0600000000169,159.883727774024,0,19,19,421,0,0,0,18,4,2,28,0,4,290,263,267,333,0,6,0,22,19,335,278,296,267,22,24
2024-09-18 11:46:10,175.8455171585083,10,49,917.4800000000189,163.72291199862957,0,15,15,470,0,0,0,13,4,1,33,0,4,344,274,296,295,0,6,0,31,15,299,303,353,281,31,21
2024-09-18 11:46:10,177.9872498512268,10,49,893.2000000000174,156.75598465278745,0,17,17,439,0,0,0,17,2,2,27,0,2,331,249,257,329,0,8,0,22,17,335,267,333,257,22,18
2024-09-18 11:46:10,180.24634504318237,10,49,923.3600000000202,170.7433684170246,0,19,19,474,0,0,0,19,4,1,44,0,4,306,311,255,386,0,6,0,27,19,401,267,311,322,27,20
